CourseName,Description
UP 316,"Credit: 3 hours.
Course Description: Provides an introduction to formal methods for collecting and analyzing data required in various planning processes. Methods include survey research, regional demographic and economic analysis, forecasting techniques, benefit-cost analysis, and decision analysis.
Prerequisite: UP 116 or an introductory statistics course."
SOC 396,"Credit: 3 hours.
Course Description: Explores topics not covered in regularly scheduled Sociology courses. See Class Schedule for topics.
Prerequisite: One of the following: SOC 100, SOC 101, SOC 163, or consent of instructor."
ACE 398,"Credit: 1 to 3 hours.
Course Description: Group discussion on a special topic in a field of study directly pertaining to subject matter in agricultural and consumer economics.
Prerequisite: Junior standing and consent of instructor."
EALC 130,
ARCH 414,
IS 519,"Credit: 4 hours.
Course Description: Provides an introduction to the design of IS research, beginning with an in-depth consideration of the philosophical and logical underpinnings of research. A brief survey of different methods used in IS research is followed by an exploration of research design issues through comparative hands-on exercises. Throughout the course, the emphasis will be on research design choices, especially the connections between research questions and research methods. Required IS Ph.D. course.
"
IB 102,
ARTD 218,"Credit: 3 hours.
Course Description: This 16-week course will immerse students in a series of assignments designed to help them develop a fundamental understanding of front-end web technologies, such as HTML5, CSS and JavaScript, and prepare them to plan and develop interactive experiences.
Prerequisite: Completion of the First-Year Curriculum in Art & Design."
ACE 199,"Credit: 1 to 5 hours.
Course Description: Experimental course on a special topic in agricultural and consumer economics. Topic may not be repeated except in accordance with the Code.
"
HIST 311,"Credit: 3 hours.
Course Description: Examines the role of both diplomatic and military intelligence in the political history of major global events and developments from the nineteenth century to the present day. Studies the histories of several major intelligence organizations, as well as the roles played by smaller and non-institutional actors in the global production of intelligence. Focuses on the interplay between intelligence, state policy, and information environments to understand not only the role intelligence played in major events, but also how intelligence practices shaped and reflected political cultures across the world.
"
LING 111,
EPOL 474,"Credit: 3 OR 4 hours.
Course Description: Examines the ways in which ""diversity"" is conceived, defined and enacted within a range of workplace environments. This course provides a foundation to help students understand and develop the cross‐cultural competence necessary to work and lead effectively in today’s global workforce. This course is designed to provide evidence‐based insights, as well as proven individual, interpersonal, organization‐level strategies to harness the power of diversity and inclusion in teams, organizations, markets, and societies.
"
MCB 429,
NRES 199,
ADV 370,"Credit: 3 hours.
Course Description: This course focuses on different topics related to consumer behavior management, and the consumer's relationships to the sales process. It will include case studies and exercises that will facilitate application of effective sales techniques.
Prerequisite: ADV 270 (Principles of Sales)."
ANSC 206,"Credit: 3 hours.
Course Description: Focus on the principles of managing horses from birth through breeding; topics include reproductive physiology, breeding management, nutrition, diseases, parasites, herd health programs, genetics, facility design and exercise physiology.
"
RLST 208,
EIL 488,"Credit: 3 OR 4 hours.
Course Description: Applications of linguistics to language learning with special emphasis on learning the sound system of English. The course involves face-to-face and online instruction.
Prerequisite: Consent of instructor. A linguistics introductory course."
ADV 582,"Credit: 3 hours.
Course Description: Treatment of basic research concepts and procedures in the social sciences with emphasis on advertising.
Prerequisite: Consent of the department."
ACCY 507,"Credit: 2 OR 4 hours.
Course Description: This course provides an introduction to the U.S. federal income tax treatment of corporations and pass-through entities, including Subchapter S corporations, partnerships, and limited liability companies.
Prerequisite: ACCY 505 or equivalent."
ECE 517,"Credit: 4 hours.
Course Description: Design of nonlinear control systems based on stability considerations; Lyapunov and hyperstability approaches to analysis and design of model reference adaptive systems; identifiers, observers, and controllers for unknown plants.
Prerequisite: ECE 515."
TSM 372,
RLST 408,
GE 330,
FR 104,"Credit: 4 hours.
Course Description: Continuation of FR 103. Comprehensive grammar review with emphasis on oral expression and the continued development of reading and written skills. Completion satisfies graduation requirement in the College of Liberal Arts and Sciences. Students planning to take advanced French courses should take FR 134 in lieu of FR 104.
Prerequisite: FR 103 or equivalent, or a placement score showing high school achievement equivalent to FR 103."
ME 199,"Credit: 1 TO 5 hours.
Course Description: 
"
GEOL 497,"Credit: 1 TO 4 hours.
Course Description: Seminar or lectures in subjects not covered by regular course offerings; for advanced undergraduates and graduate students.
Prerequisite: Consent of instructor."
MSE 206,"Credit: 4 hours.
Course Description: Statics and mechanics of materials concepts pertinent to the fields of materials science and engineering: force resultants; stresses and strains produced in elastic bodies; microscopic effects of different loading states (tension, compression, torsion, and bending) on deformable bodies; beam stresses and deflections; three-dimensional stresses and strains.
Prerequisite: MATH 241 and PHYS 211. Credit or concurrent enrollment in CS 101 or CS 124 or CS 125; and MATH 225 or 257 or MATH 415; and MSE 201."
LA 343,"Credit: 4 hours.
Course Description: Construction methods, materials, and procedures related to the design of landscape structures; development of design details and cost estimating.
Prerequisite: LA 342 or consent of instructor."
BADM 590,"Credit: 0 TO 4 hours.
Course Description: Special topics in the general area of business. Topics are selected by the instructor at the beginning of each term.
"
ENGL 274,
HIST 259,
SOCW 561,"Credit: 1 TO 8 hours.
Course Description: Independent or group study in areas of special interest; application of social work principles to special problems or settings.
Prerequisite: Consent of instructor."
SOC 274,
CHBE 494,"Credit: 1 TO 3 hours.
Course Description: Study of topics in chemical engineering; content varies from term to term. Typical topics include optimization, chemical kinetics, phase equilibrium, biochemical engineering, kinetic theory, and transport properties.
Prerequisite: Senior standing in Chemical and Biomolecular Engineering or consent of instructor."
TSM 371,
IS 505,"Credit: 4 hours.
Course Description: Emphasizes information organization and access in settings and systems of different kinds. Traces the information transfer process from the generation of knowledge through its storage and use in both print and non-print formats. Consideration will be given to the creation of information systems: the principles and practice of selection and preservation, methods of organizing information for retrieval and display, the operation of organizations that provide information services, and the information service needs of various user communities.
"
EALC 307/CWL 307,
CEE 401,"Credit: 4 hours.
Course Description: Examination of the influence of constituent materials (cements, water, aggregates and admixtures) on the properties of fresh and hardened concrete, concrete mix design, handling and placement of concrete, and behavior of concrete under various types of loading and environment. Laboratory exercises utilize standard concrete test methods. Field trips are held during some scheduled laboratory sessions.
Prerequisite: CEE 300."
EPOL 524,"Credit: 4 hours.
Course Description: Introduces students to varieties of definitions of citizenship - ranging from nation-specific practices and obligations to human rights-based global citizenship - and their relationship to globalized education and public problem solving. Readings include canonical texts on political organization and responsibilities as well as contemporary theories discussing transnational, global, and cosmopolitan citizenship. Also covers the challenges and promises of diversity, statelessness and non-citizenship participation, particularly in educational concerns but also more broadly.
"
FIN 516,"Credit: 2 hours.
Course Description: Coverage of the fundamental models models of the term structure of interest rates, including their implementation, calibration, and use in valuing interest rate derivatives. Focus will be on the Black model and short rate models such as Black-Derman-Toy and Hull-White.
Prerequisite: FIN 512; IE 525 OR Fin 514 OR FIN 513."
CS 431,"Credit: 3 or 4 hours.
Course Description: A survey of sampled data systems and embedded architecture; key concepts in common embedded system applications; signal processing and control; embedded microprocessor and device interface; time-critical I/O handling; data communications; real-time operating systems and techniques for the development and analysis of embedded real-time software; hands-on laboratory projects.
Prerequisite: One of CS 241, CS 341 or ECE 391. Students must register for one lab and one lecture section."
ENGL 300,
ATMS 201,"Credit: 3 hours.
Course Description: Introduction to physical processes in the atmosphere, focusing on those relevant to weather and storms. Emphasizes quantitative problem solving. Topics include atmospheric structure, atmospheric thermodynamics, clouds, synoptic meteorology, weather forecasting, and storms. For students in atmospheric sciences, physics, mathematics, engineering, and other physical and natural sciences.
"
ENG 398,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites.
"
ACCY 570,"Credit: 2 or 4 hours.
Course Description: Concepts and foundations underlying data analytics for accounting. Provides fundamental knowledge of how to acquire, organize, synthesize and analyze (possibly large) volumes of data to address questions and problems. After completing this course, students should (1) have a foundational understanding of the techniques underlying data analytics, (2) recognize scenarios and identify appropriate tools for various types of data analysis and (3) use Python and Tableau to perform data analysis.
Prerequisite: Enrollment in graduate accounting program or consent of the department."
EURO 415/ITAL 415/PS 415,
SOC 380,"Credit: 4 hours.
Course Description: Introduction to the foundations of social research and to the major types of research methods employed in sociology. Provides exposure to the major tools and terminology of social research, including the use of computers in sociology. Topics include: research design, finding and using sociology literature, measurement, sampling, survey research, field methods, use of available data, quantitative data analysis and presentation, and computer resources for research.
Prerequisite: SOC 280 and one of the following: SOC 100, SOC 101, or SOC 163."
ANSC 499,"Credit: 1 TO 4 hours.
Course Description: Group discussion or an experimental course on a special topic in animal sciences.
"
MSE 500,"Credit: 4 hours.
Course Description: Atomistic concepts of statistical thermodynamics and their relationship to classical phenomenological thermodynamics. Application of the methods of statistical thermodynamics and statistical mechanics to describe the structure, phase behavior, and properties of both hard and soft materials.
Prerequisite: MSE 401."
SOCW 561,"Credit: 1 TO 8 hours.
Course Description: Independent or group study in areas of special interest; application of social work principles to special problems or settings.
Prerequisite: Consent of instructor."
HDFS 108,"Credit: 3 hours.
Course Description: Educates students on the impact of grief and loss from the perspective of human development. Begins by exploring different types of grief and loss and the importance of studying this topic, especially for those students seeking professions in healthcare and social service settings. Utilizes developmental theories as we look across the lifespan at how individuals’ approach and understand death, the coping strategies utilized to confront grief/loss and ways to support individuals experiencing the plethora of feelings that accompany grief/loss.
"
RST 200,"Credit: 2 hours.
Course Description: Leadership theories and practices as related to design and delivery of leisure programs. Processes of group development and interpersonal communication in leisure service organizations.
"
ITAL 104,"Credit: 4 hours.
Course Description: Continuation of ITAL 103.
Prerequisite: ITAL 103 or three years of high school Italian."
RST 199,"Credit: 1 TO 5 hours.
Course Description: Covering various topics for undergraduates in Recreation, Sport & Tourism.
"
KIN 199,"Credit: 0 TO 5 hours.
Course Description: Topics will vary each semester. Please see section topic.
"
ECE 460,
CEE 424,
CEE 517,"Credit: 4 hours.
Course Description: Theory and application of concepts in traffic signal systems control, signal timing design, signal cabinet components, signal controllers, traffic signal theory and control, vehicle detection technologies, communication methods, interconnected rail-highway crossing signals, signal coordination, and signal systems network. Field trips to observe or utilize equipment in the Traffic Operations Lab (TOL) in ATREL or similar facilities.
Prerequisite: CEE 416."
NPRE 481/GLBL 481,"Credit: 3 OR 4 hours.
Course Description: Development of writing skills in standard computer, desktop publishing, and electronic publishing formats. On themes such as, global and regional security environments, arms control, nuclear energy, and climate change. For graduate credit, writing projects include documentation of computational work using software appropriate for typesetting of mathematical formulas.
"
CHEM 444,"Credit: 4 hours.
Course Description: Continuation of CHEM 442, focusing on thermodynamics, statistical mechanics and kinetics from single molecules to the bulk, in gases and in the condensed phase.
Prerequisite: CHEM 442."
KIN 104,"Credit: 1 hours.
Course Description: Skills and knowledge essential for leisure-time activities which are classified as skating activities. Prerequisites for each skating activity are provided in the Class Schedule. Additional Ice Skating Rink Facility charges are required and provided in the Class Schedule. More than one activity (Sections A through Z) may be taken in the same term.
"
BADM 395,"Credit: 1 TO 4 hours.
Course Description: Special topics of interest to students majoring in Business Administration.
"
CS 105,"Credit: 3 hours.
Course Description: Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors.
Prerequisite: MATH 112."
IS 581,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the field of Youth Services, intended to augment the existing Information Sciences curricula.
"
MUS 501,
ASTR 100,"Credit: 3 hours.
Course Description: Introduces the student to the basic concepts of modern astronomy. Covers topics including the night sky; the solar system and its origin; the nature and evolution of stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe.
"
ARTS 261,
AAS 120,
CHLH 244,"Credit: 3 hours.
Course Description: Introduction to biostatistics. Students learn concepts necessary to understand statistical inference as applied to health issues.
"
CEE 415,"Credit: 4 hours.
Course Description: Highway classification; analysis of factors in developing a transportation facility; highway geometrics design and safety standards; roadway design element; human factors in roadway design; roadway location principles; intersection, interchange, and ramp design; drainage factors.
Prerequisite: CEE 310."
ECE 211,"Credit: 2 hours.
Course Description: Concepts from circuit and system analysis: linear systems; review of elementary circuit analysis; op amps; transient analysis; differential equation models of linear circuits and systems; Laplace transform.
Prerequisite: ECE 110 and PHYS 212; credit or concurrent registration in MATH 285 or MATH 286."
EPS 402/AAS 402,"Credit: 4 hours.
Course Description: 
"
SPED 444,"Credit: 3 hours.
Course Description: Course focuses on developing transition plans and activities that prepare students with disabilities for adulthood, including post school employment, independent living, and postsecondary education. Particular emphasis is placed on career development including determining job interests, career exploration, work experiences prior to graduation, job development, and job placement.
Prerequisite: Admission to the Department of Special Education, or consent of instructor."
FIN 580,"Credit: 0 TO 4 hours.
Course Description: Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites.
Prerequisite: Varies by section."
CS 428/CS 429/CSE 429,
ENGL 300,
MBA 505,
MUS 443,
RST 300,
CI 550/EPOL 550/EPSY 573/SPED 550,"Credit: 4 hours.
Course Description: Offers a graduate-level introduction to research in education, including quantitative, qualitative and mixed methods designs and approaches. Key concepts include: identifying a research problem, reviewing the literature, design and analysis, communicating evidence, and the ethics of research. Students should gain the ability to effectively evaluate and critique design/methods sections of research publications; plan and design research studies; and organize a presentation of research to an audience of peers.
"
FSHN 517,
ACCY 432,
SOCW 542,"Credit: 4 hours.
Course Description: An advanced research course that develops skills for evaluating social service programs. The course assumes students have had prior courses in research methods and statistical analysis. This course provides an understanding of theoretical concepts, techniques, and research findings for evaluating a specific program, its implementation, and its effectiveness. It systematically analyzes program evaluation models and critically examines application of these models in the context of social work practice and social welfare policy.
Prerequisite: SOCW 427 and a college level statistics course."
MATH 220,"Credit: 5 hours.
Course Description: First course in calculus and analytic geometry; basic techniques of differentiation and integration with applications including curve sketching; antidifferentation, the Riemann integral, fundamental theorem, exponential and trigonometric functions.
Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/, demonstrating knowledge of topics of MATH 115. Students with previous calculus experience should consider MATH 221."
REL 104,"Credit: 3 hours.
Course Description: Introductory survey of the mythologies of India, China, and Japan.
"
AFRO 231/SHS 231,
ASRM 101,"Credit: 1 hours.
Course Description: Introduction to actuarial science as a profession and as a field of study. Students will learn about the skills and qualities of professional actuaries, the process to become a credentialed actuary, and the various career paths for actuaries. The course will focus on what students can do during their time at the University to be as well prepared as possible to become a successful actuary after graduation
Prerequisite: For freshman or new transfer students only."
SOCW 507,"Credit: 4 hours.
Course Description: Examination of the design and delivery of school social work interventions with special emphasis given to students with physical/mental disabilities and vulnerable populations. Course content provides a foundation for the development of a comprehensive and in-depth understanding of an ecological systems approach to social work practice based upon a foundation of professional values and ethics.
Prerequisite: SOCW 400."
CS 498,"Credit: 1 to 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
PS 300,"Credit: 3 hours.
Course Description: Selected readings and research in political science. See Class Schedule for current topics.
Prerequisite: Six hours of political science, or consent of instructor."
ASTR 210,"Credit: 3 hours.
Course Description: Survey of modern astronomy for students with background in physics. Topics include: the solar system; nature and evolution of stars; white dwarfs, neutron stars, and black holes; galaxies, quasars and dark matter; large scale structure of the universe; the Big Bang; and Inflation. Emphasis will be on the physical principles underlying the astronomical phenomena.
Prerequisite: PHYS 211."
PHYS 563,
CI 473,"Credit: 0 TO 3 hours.
Course Description: Provides secondary and K-12 level education majors with principles and practices of effective language and literacy instruction in their content areas, consistent with the Illinois Professional Teaching Standards for educator preparation of the Illinois State Board of Education.
Prerequisite: Admission to a teacher education program."
GWS 250,
MS 264,
MUS 101,"Credit: 2 hours.
Course Description: This is the first in a sequence of four courses in the undergraduate music theory core. Students develop competence and essential skills relating to music literacy, technology, and conceptualization through a project-oriented approach. Topics include reading music in a variety of formats, understanding hardware and software for music notation, composition and recording, and core principles of acoustics and psychoacoustics. .
"
UP 418,"Credit: 4 hours.
Course Description: Detailed introduction to the design and use of computerized geographic information systems, focusing on their significance for planning. Emphasizes GIS within an institutional setting, covering not only fundamental technical concepts, but also organizational, management, and legal issues. Students will be introduced to GIS applications and products through readings, videos, demonstrations, and exercises. Computer laboratory work is included.
Prerequisite: Upper division undergaraduate or graduate standing."
ABE 361,
IS 203,"Credit: 3 hours.
Course Description: A survey of mathematical topics for students in information sciences. Provides an introduction to sets, relations, graphs, grammars, probability, and propositional and predicate logic. These topics relate to applications in information modeling, representation and expression.
Prerequisite: MATH 112 or Required ALEKS Score."
ASTR 121,"Credit: 3 hours.
Course Description: Introductory survey of the Solar System; structure and motions of the Earth and Moon; planetary motions; natures and characteristics of the planets and smaller solar system bodies; planetary moons and rings; meteors, meteoroids, and meteorites; properties of the Sun; origin and evolution of the Solar System; discovery of extrasolar planetary systems; architecture of extrasolar planetary systems and comparison to our solar system; habitable extrasolar planets. Emphasis will be placed on problem-solving and scientific methods.
"
VB 626,
HRD 415,
FIN 580,"Credit: 0 TO 4 hours.
Course Description: Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites.
Prerequisite: Varies by section."
MBA 501,
RST 199,"Credit: 1 TO 5 hours.
Course Description: Covering various topics for undergraduates in Recreation, Sport & Tourism.
"
GEOG 466/ESE 466,"Credit: 3 OR 4 hours.
Course Description: 
"
MBA 502,
PSYC 421/NEUR 421,
BADM 590,"Credit: 0 TO 4 hours.
Course Description: Special topics in the general area of business. Topics are selected by the instructor at the beginning of each term.
"
MATH 101,"Credit: 3 hours.
Course Description: Designed for students in majors that do not specifically require a mathematics course beyond the level of precalculus. Focus is on critical thinking and applications. All topics are covered from a contextual standpoint. Topics include proportional reasoning and modeling, functions, sets, consumer math, probability, and statistics. Other topics may be covered as time permits.
Prerequisite: Three years of high school mathematics. Undergraduates only."
ANTH 414,
CPSC 466/IB 477,"Credit: 2 hours.
Course Description: An overview of applying the methods of genomics to discover variation in genes and their expression, creating new genetic variation, and applying this information to the improvement of economically important plants. Emphasis is on recent advances in genomic science and activities where functional genomics information is used to efficiently create and manipulate desirable phenotypes.
Prerequisite: CPSC 352 or a similar course, or consent of instructor."
LAW 686,"Credit: 2 TO 4 hours.
Course Description: Survey of legal and equitable remedies for the protection of personal and property rights. Procedural and substantive aspects of injunctions; restitution of unjust enrichment in the context of the receipt of unsolicited benefits, benefits derived from the commission of tortious acts, and the mistaken acquisition of benefits; alternative remedies arising from bargain transactions; and remedies for violations of civil rights.
"
BIOE 498,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
ECON 490,"Credit: 3 OR 4 hours.
Course Description: Special topics in advanced economics within a variety of areas. See course schedule for topics.
Prerequisite: ECON 202; ECON 302 or ECON 303; MATH 220 or MATH 221 or other Calculus course. Some topics may require additional prerequisites, read the section text for each topic."
FSHN 345,"Credit: 3 hours.
Course Description: Intended to promote an understanding of the managerial aspects of strategic operations. Strategic operations management examines facilities, capacity, process/work-force planning, organization, people, systems integration, and coordination between operations. An introduction to the principles and procedures for the purchasing, selection and procurement of food and non-food items in the hospitality industry is also included. Provides students with the management information needed to make operational decisions based on sound criteria.
"
RLST 223,
CI 482,
LAW 675,
SOCW 360,"Credit: 3 hours.
Course Description: This course provides an overview of military social work practice including: military culture, issues and needs of soldiers and their families, ethical considerations, and the roll of social workers.
Prerequisite: For majors only."
GGIS 254,"Credit: 3 hours.
Course Description: Students will broaden their understanding of how the United States' physical and human geography interact to produce unique cultural landscapes. Covers a dozen different regions of the U.S., exploring the significant spatial patterns and processes, built and natural environments, and social, economic, and cultural landscapes of each. Focuses on the experiences of minority cultures in the U.S. through specific themes that vary by semester, including: environmental justice, memory and memorials, music, and food.
"
SOC 583,"Credit: 4 hours.
Course Description: Introduction to field and qualitative methods in social science research, in terms of both the practical issues of conducting this type of research and the conceptual debates in the field. Methods include interviewing, participant observation, unobtrusive observation, historical/archival methods, content analysis, and/or global ethnography.
"
ECON 490,"Credit: 3 OR 4 hours.
Course Description: Special topics in advanced economics within a variety of areas. See course schedule for topics.
Prerequisite: ECON 202; ECON 302 or ECON 303; MATH 220 or MATH 221 or other Calculus course. Some topics may require additional prerequisites, read the section text for each topic."
IB 103,"Credit: 4 hours.
Course Description: Basic principles of growth and form, physiology, genetics, evolution, and ecology in plant biology. Lecture and laboratory.
"
FIN 390,"Credit: 1 hours.
Course Description: The Finance Academy is an enrichment program for outstanding undergraduate Finance majors. A select program that focuses on developing future business leaders via enhanced academic and career opportunities. Students are normally invited to participate by the faculty during their junior year, when they are enrolled in FIN 300. If inducted, students participate throughout their junior and senior years.
Prerequisite: Induction into the Finance Academy."
IS 531,
MUS 560,"Credit: 4 hours.
Course Description: 
Prerequisite: Graduate standing in music or consent of instructor."
HORT 361,"Credit: 2 hours.
Course Description: Technological application of biological principles to the culture of strawberry, grape, blueberry, raspberry, blackberry, currant, gooseberry, and miscellaneous small fruits.
Prerequisite: HORT 100 or IB 103."
CPSC 498,"Credit: 1 hours.
Course Description: Topics related to professional development including resumes, interview skills, business etiquette, ethics, and presentations on opportunities in crop sciences and horticulture.
Prerequisite: Junior standing in Crop Sciences or Horticulture."
HRD 472/CI 484,
PS 300,"Credit: 3 hours.
Course Description: Selected readings and research in political science. See Class Schedule for current topics.
Prerequisite: Six hours of political science, or consent of instructor."
CLCV 114,"Credit: 3 hours.
Course Description: Introductory study of ancient Greek literature, art, and culture.
"
CMN 396,"Credit: 3 hours.
Course Description: Special topics in communication not treated in regularly scheduled courses. See Class Schedule for current topics.
"
GE 420,
GLBL 200,"Credit: 3 hours.
Course Description: Introduction to the foundations of interdisciplinary social science research. Topic include understanding the purpose for research, identifying researchable issues, finding evaluating and using sources effectively, recognizing methods associated with different types of data and disciplines, and writing a literature review. Prepares students for course-based research papers and advanced research methods courses. Guest faculty present their Global Studies-relevant research as students (b)log their own research interests.
"
MCB 493,"Credit: 1 to 4 hours.
Course Description: Discussion of current topics of interest within the broad domain of molecular and cellular biology; seminar or lecture format. Topics vary.
Prerequisite: Junior standing and consent of instructor."
ENGL 273/MACS 273,"Credit: 3 hours.
Course Description: Explores key issues in America cinema during the second half of the twentieth century, connecting central problems of film studies (e.g., authorship, genre, narratology, style, gender analysis, and the spectacle of violence) to moments of major transition in the American film industry (e.g., the Red Scare and the end of the Production Code in the 1950s; the emergence of the New Hollywood and the breakdown of the studio system in the 1960s; and the rise of the mega-blockbuster in the 1970s).
Prerequisite: Completion of the Composition I requirement."
ACE 435,"Credit: 3 hours.
Course Description: Examination of the economic and strategic management of food, textile, and agribusiness firms within a global business environment; topics include the global business environment and its institutions, organizational strategies and policies, and business operations in global agricultural, food and textile industries.
Prerequisite: ACE 231, ACE 222, or BADM 320 or consent of instructor."
EPS 590,
CEE 407,
PSYC 468,"Credit: 2 TO 4 hours.
Course Description: Examines relationship of the administrative, civil, and criminal justice systems to educational and mental health institutions; individual rights, social issues, and psychological well being.
Prerequisite: Six hours of social science."
KIN 494,"Credit: 1 TO 4 hours.
Course Description: Lecture course on topics of current interest; specific topics announced in the Class Schedule.
"
JOUR 293,
IB 409,
ARCH 452,
SPAN 318,"Credit: 3 hours.
Course Description: A critical analysis of historical events, institutions, artistic production, symbols and values representative of Spanish (Iberian) cultures. Particular emphasis on the relationship between specific cultural practices and/or values and the construction of national identities prior to 1700. Instruction in Spanish unless otherwise noted.
Prerequisite: SPAN 228 or consent of instructor."
ACES 199,"Credit: 1 TO 5 hours.
Course Description: Experimental course on a special topic in the College of Agricultural, Consumer and Environmental Sciences.
"
ECE 598,"Credit: 0 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
ENGL 247,
FAA 101,"Credit: 1 hours.
Course Description: Common Arts experience for FAA first-year students that explores contemporary issues in the arts, cross-disciplinary ingenuity navigating a comprehensive research intensive university, professional practices and exposures to FAA faculty and guest artists through lectures, discussion groups, and online components.
"
IE 400,"Credit: 3 OR 4 hours.
Course Description: Concepts and methods of design of experiments for quality design, improvement and control. Simple comparative experiments, including concepts of randomization and blocking, and analysis of variance techniques; factorial and fractional factorial designs; Taguchi's concepts and methods; second-order designs; response surface methodology. Engineering applications and case studies.
Prerequisite: IE 300."
RST 325,"Credit: 3 hours.
Course Description: Application of marketing concepts to the delivery of leisure services. Introduces consumer decision theory analysis. Provides an integrative study of the methods and models for developing and evaluating alternative marketing strategies.
"
UP 504,"Credit: 4 hours.
Course Description: Historical and international comparison of the origins and evolution of cities, the process of urbanization, and the human endeavor to effect urban growth and change. Includes history of urban physical form and of planning efforts, emphasizing planning origins in the nineteenth century and transnational influences. Includes equity issues of urban spatial arrangement, including racial segregation and housing market differentiation. Covers elements of urban physical form, including grid and organic structure, commercial city forms, the urban skyline, and urban sprawl.
Prerequisite: Graduate standing in Urban Planning or consent of instructor."
HORT 106,"Credit: 3 hours.
Course Description: Create inviting and sustainable indoor and outdoor living spaces with plants, whether your landscape is several acres or a few containers on an urban balcony. This blended-format class meets 1 hour per week for lecture and discussion with additional instruction presented through independent learning activities including virtual field trips, on-line lectures, and instructional videos. Learn the fundamentals of environmentally sound resource use when designing with and maintaining flowering, fruit and vegetable plants, lawns, trees and shrubs around your home. Become a savvy horticultural consumer and develop a healthy lifestyle that supports positive physical and mental well-being by including greenspace activities in your daily life.
"
ANTH 437,
DANC 268,
CEE 515,
ECON 490,"Credit: 3 OR 4 hours.
Course Description: Special topics in advanced economics within a variety of areas. See course schedule for topics.
Prerequisite: ECON 202; ECON 302 or ECON 303; MATH 220 or MATH 221 or other Calculus course. Some topics may require additional prerequisites, read the section text for each topic."
PSYC 302/NEUR 302,"Credit: 3 hours.
Course Description: Examines topics in neuroscience highly relevant to our daily lives, especially as it pertains to mental health. Topics include neurobiology related to anxiety, depression, addiction, exercise, learning, memory, and personality characteristics. Special attention will be paid to race, sex, and socioeconomic differences and their influence on both genetic risk and environmental stress. The class will emphasize critical thinking and conceptualization and will frequently include open discussions.
Prerequisite: PSYC 100 or equivalent."
EPOL 201,"Credit: 3 hours.
Course Description: Studies some of the problems of formulating and justifying aims and policies in American education, of designing and systematizing the curriculum, of organization and social context of the public school system, and of the teaching-learning process; examined in terms of perspectives provided by social philosophy, history, sociology, and philosophy of education.
"
ME 498,"Credit: 0 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in mechanical engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
ACE 398,"Credit: 1 to 3 hours.
Course Description: Group discussion on a special topic in a field of study directly pertaining to subject matter in agricultural and consumer economics.
Prerequisite: Junior standing and consent of instructor."
NRES 100,"Credit: 3 hours.
Course Description: Introduction to environmental sciences and current environment issues. Topics include population growth, world food supplies, agriculture and the environment, biodiversity, fossil fuels and ""green"" energy issues, endangered and threatened species, water use, conservation and pollution, global warming, acid rain, ozone depletion, waste management and reduction, recycling, toxins and health, mineral resources, and environmental policies and regulations. Course addresses the complex relationships between the human race and the natural systems that contain our air, water, energy, and biotic and food resources.
"
JOUR 450,
ARTD 426,"Credit: 3 hours.
Course Description: Presents an overview of the product development process from concept generation to design for manufacturing and project management. Emphasis on product definition, innovation, the early phases of development and the role of designer in new product development.
"
ECE 555,
LAT 103,
ACCY 557,
MBA 562,"Credit: 2 hours.
Course Description: Introduces students to the science of business analytics while casting a keen eye toward the artful use of numbers found in the digital space. The goal is to provide businesses and managers with the foundation needed to apply data analytics to real-world challenges they confront daily in their professional lives. Students will learn to identify the ideal analytic tool for their specific needs; understand valid and reliable ways to collect, analyze, and visualize data; and utilize data in decision making for their agencies, organizations or clients.
"
CMN 496,"Credit: 3 OR 4 hours.
Course Description: Advanced topics in communication not treated in regularly scheduled courses; see Class Schedule for current topics.
"
