YearTerm,Primary Instructor,CourseFull,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2021-sp,"Pan, Yuan-Xiang",FSHN 427/NUTR 427,0,39,0,0,13,0,0,0,0,0,1,0,0,0
2021-sp,"Arthur, Anna",FSHN 429,7,6,8,2,2,0,0,0,0,0,0,0,1,0
2021-sp,"Miller, Michael J",FSHN 471/MCB 434,3,18,8,10,12,5,3,3,3,0,0,0,0,0
2021-sp,"Stasiewicz, Matthew J",FSHN 472,6,6,5,2,1,1,0,0,1,0,0,0,1,0
2021-sp,"Feng, Hao",FSHN 481,0,21,8,7,4,5,6,0,2,0,1,0,0,0
2021-sp,"Lee, Youngsoo",FSHN 482,10,26,4,4,1,0,0,0,0,0,0,0,0,0
2021-sp,"Kilgore, James W",GLBL 296,2,18,3,1,0,0,0,0,0,0,0,0,0,0
2021-sp,"Bonatti, Valeria",GLBL 340,8,11,1,2,0,1,0,0,0,0,0,0,0,0
2021-sp,"Wedig, Timothy E",GLBL 392,2,5,3,3,3,1,2,0,0,0,0,1,2,0
2021-sp,"Khudzik, Stanislav",HIST 100,2,3,10,7,0,0,1,0,1,0,0,0,0,0
2021-sp,"Kramer, Karen",HDFS 220/ANTH 210,0,77,12,6,2,1,3,2,0,1,1,0,2,0
2021-sp,"Maniotes, Christopher R",HDFS 225,4,17,1,3,9,0,1,1,0,0,2,1,3,0
2021-sp,"McElwain, Nancy L",HDFS 290,3,9,8,9,1,1,1,4,0,1,1,0,0,0
2021-sp,"Frantz, Kelly M",HDFS 305,13,16,5,4,3,3,0,2,1,1,0,0,0,0
2021-sp,"Koerner, Susan S",HDFS 310,30,18,4,2,3,0,2,0,0,0,0,0,0,0
2021-sp,"Munoz, Lorraine",HDFS 322/LLS 322,30,11,2,1,1,0,0,0,0,0,0,0,1,0
2021-sp,"Barton, Allen W",HDFS 405,4,10,5,4,5,0,2,1,0,1,1,1,0,0
2021-sp,"Hurth, Emily S",HDFS 408,15,19,2,1,1,0,1,0,0,0,0,2,1,0
2021-sp,"Lleras, Christy L",HDFS 420,26,7,5,1,2,1,1,0,0,0,0,0,0,0
2021-sp,"Thomann Mitchel, Elissa",HDFS 426,6,21,1,3,3,4,5,3,0,0,1,0,2,0
2021-sp,"Mandala, Ruth V",HIST 100,2,20,9,9,1,2,1,0,0,0,0,0,1,0
2021-sp,"Yao, Linlin",HDFS 206,0,17,0,0,7,0,0,1,0,0,0,0,0,0
2021-sp,"Vostriakova, Elizaveta",HIST 100,5,4,9,10,5,6,1,0,0,1,0,0,4,0
2021-sp,"Chen, Xiao",HIST 120/EALC 120,2,2,2,4,1,4,0,1,3,0,0,3,5,0
2021-sp,"Cuno, Kenneth M",HIST 135,0,6,5,7,5,3,2,0,2,0,0,0,4,0
2021-sp,"Parrella, Chloe",HIST 141/HIST 140,1,4,8,3,0,2,1,0,1,1,0,0,2,0
2021-sp,"Freund Carter, Heather E",HIST 171,0,1,5,2,3,0,1,4,1,1,1,1,6,0
2021-sp,"Ruiz, Michael J",HIST 171,29,11,5,3,2,2,2,4,1,0,0,0,7,0
2021-sp,"Toups, Eric J",HIST 171,8,26,12,5,7,4,0,1,1,1,0,0,4,0
2021-sp,"Barrett, Marsha E",HIST 172,4,5,5,2,3,1,1,0,1,0,0,1,0,0
2021-sp,"Bradley, Michael I",HIST 172,6,16,9,3,4,1,0,1,1,1,1,1,3,0
2021-sp,"Kelley, Kurtis J",HIST 172,8,21,17,2,7,3,0,2,3,1,0,1,5,0
2021-sp,"Brooks, Jan D",HDFS 208,19,20,0,6,1,1,0,0,0,0,0,0,0,0
2021-sp,"Smith, Sharde",HDFS 120,0,9,9,3,8,2,2,2,1,0,0,1,2,0
2021-sp,"Fogelman, Charles J",GLBL 450,1,16,4,0,1,0,0,0,0,0,0,0,0,0
2021-sp,"Grogan, Erin E",GWS 100/HDFS 140/SOC 130,7,19,5,1,5,4,1,0,2,0,0,0,3,0
2021-sp,"Walk, Aaron J",GS 101,26,4,4,1,1,0,1,0,0,0,2,1,1,0
2021-sp,"Almanza, Daniel",GS 102,13,3,1,1,0,0,0,0,0,0,0,0,5,0
2021-sp,"Gutwein, Calen A",GS 102,13,2,4,4,2,1,0,1,2,0,1,0,1,0
2021-sp,"Singh, Gabriele N",GS 102,12,7,4,4,1,0,0,0,0,0,0,1,1,0
2021-sp,"Williams, Melissa",GS 102,0,11,2,1,1,1,0,1,0,0,1,2,6,0
2021-sp,"Flack, Corey J",GS 198,13,12,2,1,1,0,0,0,0,0,0,0,0,0
2021-sp,"Sandler, Chaya S",GS 198,15,16,0,1,0,1,0,0,0,0,1,0,0,0
2021-sp,"Smothers, Sarah A",GS 198,6,17,3,0,0,0,1,0,0,0,0,0,0,0
2021-sp,"Holterman, Christopher J",GS 199,0,6,2,1,1,0,1,2,0,0,1,0,10,0
2021-sp,"Morley, Amanda R",GS 199,2,1,2,6,3,1,0,0,1,2,1,1,5,0
2021-sp,"Hernandez, Jessennya",GWS 100/HDFS 140/SOC 130,4,6,5,0,3,1,2,1,0,0,0,0,0,0
2021-sp,"Hughes, Robert",HDFS 120,0,24,0,0,10,0,0,6,0,0,2,0,3,0
2021-sp,"Delanthamajalu, Shwetha",GWS 202/SOC 202,14,19,3,3,3,0,1,0,0,0,1,0,2,0
2021-sp,"Gargiulo, Megan E",GWS 202/SOC 202,20,12,1,4,2,2,3,0,0,0,1,0,2,0
2021-sp,"Byrd, Jodi",GWS 204/ENGL 277/MACS 204,1,13,7,5,1,0,0,0,0,0,0,0,0,0
2021-sp,"Nguyen, Mimi T",GWS 282/AAS 282/LLS 282,5,20,1,0,0,0,0,0,0,0,0,1,0,0
2021-sp,"Nadeau, Chantal",GWS 335/MACS 335,2,9,11,2,1,0,1,0,0,0,0,0,0,0
2021-sp,"Kashani, Maryam",GWS 350,8,8,6,3,0,0,0,0,0,0,0,0,0,0
2021-sp,"Mahaffey, Vicki",GWS 378/ENGL 378,0,10,6,6,2,0,1,0,0,0,0,0,0,0
2021-sp,"Brooks, Jan D",HDFS 105,66,129,3,4,18,2,1,12,1,2,0,0,4,0
2021-sp,"Theisen, Jaclyn C",HDFS 105,21,9,1,2,1,1,1,1,1,1,0,0,2,0
2021-sp,"Yao, Linlin",HDFS 105,36,9,0,5,1,2,0,1,0,2,1,0,0,0
2021-sp,"Weible, John D",IS 597,0,21,5,0,4,0,0,0,0,0,0,0,0,0
2021-sp,"LoBue, Adam J",HIST 130/ANTH 130,1,8,4,4,2,1,0,0,1,1,0,1,7,0
2021-sp,"Heuman, Joshua M",JOUR 205,0,20,7,24,4,2,0,2,0,0,1,0,0,0
2021-sp,"Sadanand, Chandrika",MATH 347,6,4,3,2,6,1,3,1,0,0,0,0,0,0
2021-sp,"Reddy, Alison",MATH 112,5,10,4,4,5,7,7,10,7,2,1,2,1,0
2021-sp,"Hoffmeister, April M",MATH 115,3,32,0,19,35,1,6,22,0,2,6,0,5,0
2021-sp,"Hoffmeister, April M",MATH 117,5,17,0,0,2,0,0,0,0,0,0,0,0,0
2021-sp,"Govindarajan, Advith",MATH 124,1,2,4,7,3,2,0,1,1,1,0,0,1,0
2021-sp,"Rachfal, Emily T",MATH 124,0,3,6,6,1,3,3,0,0,0,1,0,1,0
2021-sp,"Wang, Haoyi",MATH 124,2,0,4,5,3,2,2,0,1,2,1,0,0,0
2021-sp,"Donepudi, Ravi Kiran",MATH 181,0,6,6,1,6,3,1,1,0,2,1,0,0,0
2021-sp,"McNeilly, Jennifer R",MATH 199,0,187,9,3,2,2,2,1,1,0,0,0,3,0
2021-sp,"Morales Miranda, Adriana",MATH 199,0,21,1,0,0,1,0,0,0,0,0,0,0,0
2021-sp,"Ivanov, Sergei V",MATH 213,1,11,7,8,12,4,3,9,4,2,3,6,4,0
2021-sp,"Kirr, Eduard-Wilhelm",MATH 213,5,4,5,8,2,3,3,1,2,0,1,3,1,0
2021-sp,"Palmer, Joseph A",MATH 220,5,9,6,2,11,4,1,6,4,1,7,3,0,0
2021-sp,"Petrickova, Sarka",MATH 220,83,88,54,57,57,42,30,36,27,18,16,7,33,0
2021-sp,"Guzman, Rosemary K",MATH 225,28,40,7,18,15,33,54,33,8,11,14,6,12,0
2021-sp,"Dobbs, Theresa M",MATH 231,3,3,4,6,1,3,1,1,0,0,1,0,1,0
2021-sp,"Folwaczny, Lena C",MATH 231,201,307,146,86,108,56,54,53,49,10,19,5,15,0
2021-sp,"Placzek, Laura E",MATH 234,11,120,106,107,92,48,27,34,20,16,14,6,8,0
2021-sp,"Ahmed, Iftikhar",MATH 241,123,163,118,104,62,42,54,55,33,17,11,7,25,0
2021-sp,"Manfroi, Aldo J",MATH 285,63,161,3,20,16,14,7,3,0,2,1,1,6,0
2021-sp,"Oikhberg, Timur",MATH 285,48,122,25,8,22,22,17,14,5,1,2,0,3,0
2021-sp,"Manfroi, Aldo J",MATH 286,83,137,0,10,8,10,2,7,2,1,1,1,1,0
2021-sp,"Borman, Matthew S",MATH 347,1,39,0,0,4,0,0,0,0,0,0,0,0,0
2021-sp,"Kutzarova-Ford, Denka N",MATH 347,3,8,3,6,5,0,1,0,1,0,0,0,1,0
2021-sp,"Hoffmeister, April M",MATH 103,3,29,0,6,6,0,1,0,0,0,1,0,0,0
2021-sp,"Aguayo, Angela J",MACS 395,16,4,4,2,5,0,3,2,0,0,0,0,6,0
2021-sp,"Kurt, Eric M",MACS 372,8,14,1,2,0,0,0,1,0,0,0,0,0,0
2021-sp,"Helmke, William H",MACS 101,43,3,2,2,0,2,1,1,0,0,0,0,3,0
2021-sp,"Garcia Hernande, Yessica",LLS 240/ENGL 224/SPAN 240,0,22,6,1,4,0,0,2,0,0,0,0,0,0
2021-sp,"Romero, Rolando J",LLS 250/MACS 250,6,8,4,3,0,1,0,0,0,2,1,0,2,0
2021-sp,"Ettinger, Sean N",LLS 279/HIST 279,21,25,2,0,2,1,1,0,1,2,0,0,3,0
2021-sp,"Velasquez Estra, Ruth E",LLS 343/AAS 343/AFRO 343/AIS 343/GWS 343,6,8,5,3,1,2,0,1,0,0,0,0,0,0
2021-sp,"Das, Susmita",MACS 100,22,16,4,10,5,4,1,2,0,3,0,0,0,0
2021-sp,"Mukhopadhyay, Anirban",MACS 100,40,14,3,3,0,1,1,0,0,0,0,0,0,0
2021-sp,"Pyo, Yeah In",MACS 100,33,17,8,6,2,0,1,1,1,0,0,0,1,0
2021-sp,"Yomtoob, Desiree R",MACS 100,30,30,2,1,3,1,0,0,0,0,1,0,1,0
2021-sp,"Carrillo Fuchs, David E",MACS 101,24,13,3,4,0,2,0,0,0,0,0,0,3,0
2021-sp,"Haugen, Matthew B",MACS 101,4,9,4,3,2,1,1,0,0,1,0,0,2,0
2021-sp,"Irving-Thomas, Leonard O",MACS 101,9,22,5,4,5,3,1,0,0,0,0,0,0,0
2021-sp,"Valkanova, Dora R",MACS 361,1,2,12,10,2,0,0,0,0,0,0,5,2,0
2021-sp,"Malo, Gabriel R",MACS 101,20,15,10,2,2,0,1,0,0,1,0,0,2,0
2021-sp,"Peng, Anqi",MACS 101,12,17,10,3,6,4,1,1,0,0,0,1,1,0
2021-sp,"Valkanova, Dora R",MACS 203,0,4,27,18,4,1,0,0,1,1,0,0,1,0
2021-sp,"Cole, Cheryl L",MACS 224,23,33,7,3,9,1,0,6,1,2,0,3,0,0
2021-sp,"Font Bas, Victor",MACS 260,9,34,2,0,0,1,0,0,0,0,0,0,0,0
2021-sp,"Heuman, Joshua M",MACS 264,0,6,2,11,0,0,0,0,0,0,3,0,0,0
2021-sp,"Heuman, Joshua M",MACS 320,0,12,1,20,5,1,1,1,0,0,0,0,0,0
2021-sp,"Aguayo, Angela J",MACS 326/INFO 326,5,12,5,6,2,1,0,0,0,0,0,0,2,0
2021-sp,"Reisner, Ann E",MACS 351,0,9,2,4,9,5,1,5,1,0,1,0,1,0
2021-sp,"Valdivia, Angharad N",MACS 356/GWS 356,2,13,4,0,8,0,0,6,0,0,1,0,2,0
2021-sp,"Li, Mao",MATH 347,6,11,0,4,1,0,0,1,0,0,0,0,0,0
2021-sp,"Tolman, Susan",MATH 347,2,4,4,4,2,3,0,1,0,0,1,0,0,0
2021-sp,"Mora, Juan I",LLS 100,13,32,4,3,0,0,0,3,0,0,2,0,1,0
2021-sp,"Samperton, Eric G",MATH 402,3,3,3,1,5,1,2,2,0,0,1,0,2,0
2021-sp,"Reedy, Melissa M",MCB 151,80,19,4,2,3,1,0,0,0,1,0,0,0,0
2021-sp,"Brown, Chester M",MCB 246,57,47,65,76,93,47,26,20,12,3,4,2,2,0
2021-sp,"Joesting, Jennifer J",MCB 247,54,40,35,44,33,27,16,21,8,1,4,4,5,0
2021-sp,"Kirchner, Nicholas C",MCB 250,14,9,13,10,12,11,7,7,3,7,6,2,5,0
2021-sp,"Kirchner, Nicholas C",MCB 251,19,29,20,17,14,5,3,3,2,2,0,0,1,0
2021-sp,"Good, Elizabeth A",MCB 252,25,41,20,13,10,11,5,2,1,4,1,1,2,0
2021-sp,"Good, Elizabeth A",MCB 253,49,54,32,23,11,1,2,1,1,2,2,0,1,0
2021-sp,"Alt, Renee L",MCB 301,4,23,23,12,16,10,7,7,3,2,1,1,2,0
2021-sp,"Rivier, David H",MCB 317,10,34,0,5,39,0,0,15,0,0,4,0,3,0
2021-sp,"Bolton, Eric C",MCB 320,27,17,9,11,10,9,5,4,2,0,2,0,2,0
2021-sp,"Stenger, Alejandra L",MCB 354,11,13,7,11,9,10,6,7,8,4,2,1,1,0
2021-sp,"Levesque, Lyne",MCB 364,4,5,2,2,2,3,2,0,0,1,0,0,0,0
2021-sp,"Nelson, Erik",MCB 402,83,51,22,7,7,2,0,0,0,0,0,0,0,0
2021-sp,"Jin, Hong",MCB 406/BIOC 406,5,25,18,7,3,2,0,0,0,0,0,0,0,0
2021-sp,"Li, Xin",MCB 410,6,14,17,14,6,3,2,2,0,0,0,0,0,0
2021-sp,"Metcalf, William W",MCB 424,0,12,10,5,2,3,0,2,1,0,0,0,0,0
2021-sp,"Kehl-Fie, Thomas",MCB 426,0,4,3,3,6,3,1,1,0,4,3,0,2,0
2021-sp,"Whitaker, Rachel",MCB 435/IB 442,39,3,2,0,1,0,0,0,0,0,0,0,0,0
2021-sp,"Chen, Lin-Feng",MCB 450,42,54,50,36,36,29,20,20,14,10,8,4,0,0
2021-sp,"Gillette, Martha L",MCB 462/NEUR 462,4,36,4,5,27,0,0,1,0,0,1,0,0,0
2021-sp,"Anakk, Sayeepriyadarsh",MCB 465,3,7,4,8,14,7,5,3,2,0,0,0,0,0
2021-sp,"Johnson, Brian K",JOUR 215,6,7,4,5,2,2,1,1,0,0,0,0,3,0
2021-sp,"Chen, Jie",MCB 480,3,20,9,12,7,2,0,2,0,0,0,0,0,0
2021-sp,"Reedy, Melissa M",MCB 150,45,95,118,112,75,27,12,6,4,5,1,2,1,0
2021-sp,"Alt, Renee L",MCB 101,11,24,17,28,12,13,15,6,3,4,2,1,2,0
2021-sp,"Wilson, Brenda A",MCB 100,1,25,82,74,35,12,7,6,5,2,0,0,2,0
2021-sp,"Mortensen, Karen P",MATH 444,6,10,1,5,3,0,0,0,0,0,0,0,1,0
2021-sp,"Kostochka, Alexandr V",MATH 412,8,8,9,7,4,3,4,1,8,4,2,1,0,0
2021-sp,"Chen, Ruiyuan",MATH 414,2,2,0,3,5,0,1,1,1,0,2,1,4,0
2021-sp,"Chuang, Jer-Chin",MATH 415,66,286,135,69,78,40,33,51,20,21,52,0,21,0
2021-sp,"Albin, Pierre",MATH 416,15,6,1,0,0,0,0,0,0,0,0,2,0,0
2021-sp,"Katz, Sheldon",MATH 416,2,4,3,4,2,0,0,2,2,0,0,0,3,0
2021-sp,"Dodd, Christopher S",MATH 417,0,3,13,14,9,4,6,1,2,3,0,0,0,0
2021-sp,"Pascaleff, James",MATH 417,1,2,3,8,6,2,3,7,3,3,5,2,2,0
2021-sp,"Tzirakis, Nikolaos",MATH 441,9,8,5,10,5,6,3,2,4,1,2,0,4,0
2021-sp,"Zharnitsky, Vadim",MATH 441,4,12,13,6,14,7,7,9,0,0,0,0,2,0
2021-sp,"Barron, Alexander A",MATH 442,5,23,9,6,11,9,2,3,2,1,1,1,0,0
2021-sp,"Yang, Zhao",MATH 444,0,3,3,1,0,2,0,1,3,0,5,0,3,0
2021-sp,"Guymon, Ronald N",MBA 561,475,232,91,42,36,14,12,16,5,0,10,0,11,0
2021-sp,"Nikolaev, Igor G",MATH 446,12,14,10,6,6,2,3,2,0,0,1,0,0,0
2021-sp,"Nguyen, Oanh",MATH 447,4,4,3,4,4,1,1,2,0,0,1,0,0,0
2021-sp,"Ford, Kevin",MATH 453,3,6,2,2,2,1,3,2,1,1,0,0,1,0
2021-sp,"Tang, Shiang",MATH 453,4,6,1,1,1,0,1,2,3,0,3,1,0,0
2021-sp,"Whittlesey, Kim",MATH 482,3,5,3,1,2,2,0,3,2,0,1,1,0,0
2021-sp,"Hodges, Reuven M",MATH 484,4,8,3,0,2,0,0,3,3,0,1,1,0,0
2021-sp,"Leditzky, Felix",MATH 595,17,2,0,1,0,1,0,0,0,0,0,0,0,0
2021-sp,"Rindfleisch, Aric P",MBA 541,587,125,22,12,9,4,2,2,0,0,0,1,6,0
2021-sp,"Bucheli, Marcelo",MBA 548,0,264,82,52,35,24,12,8,2,2,2,0,8,0
2021-sp,"Love, E G",MBA 551,0,1090,129,16,44,10,6,7,1,0,1,0,10,0
2021-sp,"Ortega, Carolina",LLS 100,38,13,3,0,0,0,0,0,1,0,0,0,2,0
2021-sp,"English, Sean J",MATH 413/CS 413,6,5,2,1,2,4,2,3,0,5,1,2,3,0
2021-sp,"Girju, Corina R",LING 406,18,17,2,3,7,0,0,1,0,0,2,0,1,0
2021-sp,"Johnson, Eric A",LAW 604,1,3,2,7,6,1,3,0,0,0,0,0,0,0
2021-sp,"Kinder, Christopher J",KIN 369,17,14,0,3,2,0,1,0,0,0,1,0,1,0
2021-sp,"Haugen, Matthew B",KIN 442/GWS 442,33,4,1,1,2,2,1,0,0,0,0,0,2,0
2021-sp,"Jan, Yih-Kuen",KIN 449,15,10,0,1,0,0,0,1,0,0,0,0,0,0
2021-sp,"Khan, Naiman A",KIN 494,0,23,0,0,8,0,0,0,0,0,1,0,0,0
2021-sp,"Rice, Ian M",KIN 494,5,8,5,1,1,1,0,0,0,0,0,0,0,0
2021-sp,"Hays, David L",LA 101,40,21,12,2,8,6,2,1,1,2,0,0,3,0
2021-sp,"Ginsburg, Rebecca",LA 221/AFRO 221/HIST 219,29,14,5,2,16,3,5,11,1,3,5,1,17,0
2021-sp,"Hu, Jie",LA 250,15,3,0,1,3,0,0,0,0,1,0,0,3,1
2021-sp,"Reschke, Craig M",LA 281,1,4,7,2,4,0,2,1,2,0,0,0,2,0
2021-sp,"Rhee, Pollyanna",LA 314/ARCH 314,5,89,28,18,10,5,1,3,1,0,1,0,5,0
2021-sp,"Deal, Brian M",LA 480/UP 480,0,7,4,5,9,5,1,1,1,0,0,0,0,0
2021-sp,"Soranso, Murillo S",LAS 101,20,8,2,2,1,2,1,0,3,1,0,0,4,0
2021-sp,"Soranso, Murillo S",LAS 102,13,4,1,0,1,1,1,0,1,0,1,0,4,0
2021-sp,"Abney, Kate C",LAS 199,8,6,1,2,1,0,0,1,0,0,1,0,3,0
2021-sp,"Akinrinola, Ademola A",LAS 399,17,6,0,0,0,0,0,0,0,0,0,0,1,0
2021-sp,"Vallier, Nolan A",LAS 399,11,10,3,0,1,0,0,0,0,0,0,0,0,0
2021-sp,"Grimaldi Calder, Grazzia",LAST 170,2,22,9,5,8,5,2,3,3,1,0,0,7,0
2021-sp,"Migotto Brandol, Larissa",LAST 170,4,14,4,2,8,3,1,3,0,0,0,0,3,0
2021-sp,"Molina-Vital, Carlos R",LAST 210,9,10,1,1,0,0,1,1,0,0,0,0,1,0
2021-sp,"Pahre, Jennifer N",LAW 303,25,25,7,1,1,0,0,0,0,0,0,0,0,0
2021-sp,"Brubaker, Ralph E",LAW 601,0,6,10,26,25,11,2,0,0,0,0,0,0,0
2021-sp,"Kar, Robin B",LAW 601,3,4,7,35,8,6,6,2,1,0,0,0,0,0
2021-sp,"Sherkow, Jacob S",LAW 602,1,2,4,20,5,1,1,1,1,0,0,0,0,0
2021-sp,"Rice, Ian M",KIN 355,13,40,26,14,17,1,3,1,1,0,2,0,0,0
2021-sp,"Petruzzello, Steven J",KIN 340,0,63,31,19,12,5,6,1,1,0,1,0,1,0
2021-sp,"Ison, Shelby E",KIN 268,2,25,5,7,4,1,0,1,0,0,2,0,0,0
2021-sp,"Richards, Alicia",KIN 122,39,81,72,50,27,30,15,13,16,8,8,5,31,0
2021-sp,"Craft, Stephanie L",JOUR 250,6,18,14,6,9,2,0,3,0,0,1,0,2,0
2021-sp,"Holden, Benjamin A",JOUR 311,2,11,4,4,2,0,2,0,0,0,0,0,1,0
2021-sp,"Del Pinal, Guillermo",LING 307/PHIL 307,24,4,2,1,1,1,1,1,0,0,0,0,4,0
2021-sp,"Ray, Rik",JOUR 451,6,11,1,1,5,0,1,2,1,0,2,1,3,0
2021-sp,"McDonald, Jean A",JOUR 460,0,34,0,0,8,0,0,0,0,0,0,0,1,0
2021-sp,"Fliflet, Alexander M",KIN 100,10,11,0,0,1,0,0,0,0,0,0,0,1,0
2021-sp,"Kinder, Christopher J",KIN 100,0,21,0,0,4,0,0,0,0,0,0,0,1,0
2021-sp,"King, Alexis C",KIN 100,6,15,4,3,2,1,1,1,0,0,0,0,2,0
2021-sp,"North, Jonathan R",KIN 100,0,57,0,0,8,0,0,0,0,0,0,0,0,0
2021-sp,"Danbury, Anne E",KIN 120,11,16,2,4,4,3,1,5,0,0,0,0,2,0
2021-sp,"O'Neill, Amy",KIN 125,0,91,0,0,13,0,0,2,0,0,1,0,0,0
2021-sp,"Carlson, Kristin N",KIN 262/HDFS 262,0,6,4,5,9,1,0,3,2,2,0,0,2,0
2021-sp,"Pindus, Dominika M",KIN 140,24,32,31,12,6,4,8,6,5,3,2,2,3,0
2021-sp,"Sydnor, Synthia",KIN 142,0,199,0,0,41,0,0,17,0,0,6,0,15,0
2021-sp,"Boppart, Marni",KIN 150,0,40,0,0,54,0,0,24,0,0,5,0,3,0
2021-sp,"Ensign, Julene M",KIN 199,4,3,7,2,2,1,3,1,1,1,3,0,2,0
2021-sp,"O'Connor, Jamie A",KIN 199,0,21,3,0,1,0,1,1,0,0,0,0,2,0
2021-sp,"Gothe, Neha P",KIN 201,71,19,7,8,2,2,3,0,3,2,0,0,3,0
2021-sp,"Mullen, Sean P",KIN 247,0,18,0,0,2,0,0,1,0,0,0,0,0,0
2021-sp,"Phansikar, Madhura Abhay",KIN 247,0,260,22,4,15,2,2,2,1,0,0,0,4,0
2021-sp,"Park, Doo Jae",KIN 249,242,128,52,27,33,13,4,7,5,4,2,1,17,0
2021-sp,"Carlson, Kristin N",KIN 259/HDFS 259,0,55,25,15,8,1,6,2,1,1,0,2,3,0
2021-sp,"Etienne, Margareth",LAW 604,1,3,3,7,6,4,1,1,0,0,0,0,0,0
2021-sp,"Burd, Nicholas A",KIN 352,0,47,0,0,31,0,0,6,0,0,6,0,1,0
2021-sp,"Ross, Jacqueline E",LAW 604,0,2,3,10,7,1,2,0,0,0,0,0,0,0
2021-sp,"Smist, Jennifer A",LEAD 470,19,2,1,1,0,0,0,0,0,0,0,0,0,0
2021-sp,"Benton, Richard",LER 523,0,10,7,2,3,1,0,0,0,0,0,0,0,0
2021-sp,"Riordan, Christine A",LER 542/ECON 542,0,28,3,2,2,1,0,0,0,0,0,0,0,0
2021-sp,"Cardador, Maria T",LER 567,1,15,9,0,0,0,0,0,1,0,0,0,0,0
2021-sp,"Benton, Richard",LER 569,0,22,2,0,1,0,0,0,0,0,0,0,0,0
2021-sp,"Cardador, Maria T",LER 590,1,16,8,6,0,0,1,0,2,0,0,1,0,0
2021-sp,"Mies, Erin K",LER 590,13,4,2,1,1,1,1,0,0,0,0,0,0,0
2021-sp,"Mun, Eunmi",LER 590,7,7,4,3,0,0,0,0,0,0,0,0,0,0
2021-sp,"Pearlman, Laurence J",LER 590,13,3,3,1,1,0,0,0,0,0,0,0,0,0
2021-sp,"Ramsey, Kimberly J",LER 590,7,16,15,2,0,0,0,0,0,0,0,0,0,0
2021-sp,"Shosted, Ryan K",LING 302,4,7,1,2,4,2,1,4,8,0,0,1,0,0
2021-sp,"Weinstein, Russell M",LER 590,0,5,17,7,6,0,0,0,0,0,0,0,0,0
2021-sp,"Mun, Eunmi",LER 591,7,13,3,5,0,0,0,0,0,0,0,0,0,0
2021-sp,"Liu, Yihao",LER 593,12,9,4,3,3,1,0,1,0,0,0,0,0,0
2021-sp,"Kramer, Amit",LER 595,2,16,9,2,4,2,0,0,0,0,0,0,0,0
2021-sp,"Green, Jeffrey J",LING 100,20,18,9,10,5,1,5,1,2,1,2,0,3,0
2021-sp,"Mishra, Mithilesh",LING 115/REL 115,3,13,16,12,9,15,3,5,3,0,1,3,0,1
2021-sp,"Gent, Helen M",LING 210,7,6,0,2,2,0,0,0,0,3,0,0,1,0
2021-sp,"Sanei, Taraneh",LING 222,7,7,9,0,5,2,2,0,2,1,1,0,3,1
2021-sp,"Goldshtein, Maria",LING 225,12,6,3,4,3,0,0,1,0,0,0,0,2,0
2021-sp,"Wawire, Gorrety N",LING 250,18,26,3,2,1,0,2,2,3,0,0,1,0,0
2021-sp,"Amar, Vikram D",LAW 606,0,4,5,11,7,9,3,1,0,0,0,0,0,0
2021-sp,"Dell, Brennan M",LING 270,26,5,1,1,1,0,1,1,0,0,0,0,2,0
2021-sp,"Sun, Yan",LING 301,1,7,1,3,0,5,1,1,0,2,0,1,3,0
2021-sp,"Chunoo, Vivechkanand S",LEAD 480,19,25,2,2,1,0,0,0,0,0,0,0,1,0
2021-sp,"Schultz, James M",LER 590,15,6,1,0,1,0,1,0,0,1,0,0,0,0
2021-sp,"Sharpe, Jamelle C",LAW 615,1,5,11,8,10,1,0,0,0,0,0,0,0,0
2021-sp,"Leipold, Andrew D",LAW 679,1,8,21,36,16,3,0,0,0,0,0,0,0,0
2021-sp,"Collins, Jasmine D",LEAD 380,29,7,9,1,2,1,1,0,0,0,1,0,1,0
2021-sp,"Anderson, Sean M",LAW 610,1,3,1,7,9,0,3,0,0,0,0,0,0,0
2021-sp,"Moritz, Shannon M",LAW 610,0,2,5,10,5,3,2,0,0,0,0,0,0,0
2021-sp,"Pea, Janice F",LAW 610,1,3,1,7,8,4,1,0,0,0,0,0,1,0
2021-sp,"Sanderson, Kari",LAW 610,1,1,3,6,6,2,2,0,0,0,0,0,0,0
2021-sp,"Schulte, Aylon",LAW 610,0,2,5,11,6,1,2,0,1,0,0,0,0,0
2021-sp,"Mazzone, Jason",LAW 606,0,7,8,44,22,10,11,0,0,0,0,0,0,0
2021-sp,"Lawless, Robert M",LAW 631,1,10,6,7,5,5,3,0,0,0,0,0,0,0
2021-sp,"Sharpe, Nicola F",LAW 633,1,9,0,5,8,0,0,1,0,0,0,0,0,0
2021-sp,"Kaplan, Richard L",LAW 670,2,6,5,17,8,2,0,0,0,0,0,0,0,0
2021-sp,"Bohm, Jason M",LAW 638,2,6,3,2,2,2,1,2,0,1,0,0,0,0
2021-sp,"Kordik, Ellen R",LAW 680,0,11,12,27,16,5,1,1,0,0,0,0,0,0
2021-sp,"Pahre, Jennifer N",LAW 686,1,7,5,2,15,0,0,0,0,0,0,0,0,0
2021-sp,"Bilz, Kenworthey",LAW 792,0,3,8,7,3,0,0,1,0,0,0,0,0,0
2021-sp,"Brown, Kevin",LAW 792,0,2,6,10,3,1,0,0,0,0,0,0,0,0
2021-sp,"McClane, Jeremy",LAW 794,1,3,7,6,1,3,0,0,0,0,0,0,0,0
